"total_name","total_value","country_name","country_url","country_total_cases","country_total_deaths","country_total_new_cases","country_total_recovered","country_total_active_cases","country_total_tests","country_Population","country_Population_url"
"","","Fiji","https://www.worldometers.info/coronavirus/country/fiji/","26","","","18","8","4,000","896,687","https://www.worldometers.info/world-population/fiji-population/"
"","","Timor-Leste","https://www.worldometers.info/coronavirus/country/timor-leste/","24","","","24","0","1,568","1,319,232","https://www.worldometers.info/world-population/timor-leste-population/"
"","","Grenada","https://www.worldometers.info/coronavirus/country/grenada/","23","","","23","0","5,465","112,543","https://www.worldometers.info/world-population/grenada-population/"
"","","New Caledonia","https://www.worldometers.info/coronavirus/country/new-caledonia/","22","","+1","21","1","9,424","285,597","https://www.worldometers.info/world-population/new-caledonia-population/"
"","","Saint Lucia","https://www.worldometers.info/coronavirus/country/saint-lucia/","22","","","19","3","2,048","183,659","https://www.worldometers.info/world-population/saint-lucia-population/"
"","","Laos","https://www.worldometers.info/coronavirus/country/laos/","19","","","19","0","21,386","7,279,113","https://www.worldometers.info/world-population/laos-population/"
"","","Dominica","https://www.worldometers.info/coronavirus/country/dominica/","18","","","18","0","623","71,993","https://www.worldometers.info/world-population/dominica-population/"
"","","Saint Kitts and Nevis","https://www.worldometers.info/coronavirus/country/saint-kitts-and-nevis/","17","","","15","2","671","53,213","https://www.worldometers.info/world-population/saint-kitts-and-nevis-population/"
"","","Falkland Islands","https://www.worldometers.info/coronavirus/country/falkland-islands-malvinas/","13","","","13","0","1,393","3,483","https://www.worldometers.info/world-population/falkland-islands-malvinas-population/"
"","","Greenland","https://www.worldometers.info/coronavirus/country/greenland/","13","","","13","0","4,932","56,774","https://www.worldometers.info/world-population/greenland-population/"
"","","Montserrat","https://www.worldometers.info/coronavirus/country/montserrat/","12","1","","10","1","61","4,992","https://www.worldometers.info/world-population/montserrat-population/"
"","","Vatican City","https://www.worldometers.info/coronavirus/country/holy-see/","12","","","12","0","","801","https://www.worldometers.info/world-population/holy-see-population/"
"","","Papua New Guinea","https://www.worldometers.info/coronavirus/country/papua-new-guinea/","11","","","8","3","7,147","8,952,342","https://www.worldometers.info/world-population/papua-new-guinea-population/"
"","","Western Sahara","https://www.worldometers.info/coronavirus/country/western-sahara/","10","1","","8","1","","597,756","https://www.worldometers.info/world-population/western-sahara-population/"
"","","Caribbean Netherlands","https://www.worldometers.info/coronavirus/country/caribbean-netherlands/","9","","+2","7","2","424","26,232","https://www.worldometers.info/world-population/caribbean-netherlands-population/"
"","","British Virgin Islands","https://www.worldometers.info/coronavirus/country/british-virgin-islands/","8","1","","7","0","439","30,239","https://www.worldometers.info/world-population/british-virgin-islands-population/"
"","","St. Barth","https://www.worldometers.info/coronavirus/country/saint-barthelemy/","6","","","6","0","507","9,878","https://www.worldometers.info/world-population/saint-barthelemy-population/"
"","","Anguilla","https://www.worldometers.info/coronavirus/country/anguilla/","3","","","3","0","380","15,008","https://www.worldometers.info/world-population/anguilla-population/"
"","","Saint Pierre Miquelon","https://www.worldometers.info/coronavirus/country/saint-pierre-and-miquelon/","2","","","1","1","","5,793","https://www.worldometers.info/world-population/saint-pierre-and-miquelon-population/"
